genes,study,relevance
SMARCE1,IPAhematopoiesis,IPA
SMO,IPAhematopoiesis,IPA
SMPD1,IPAhematopoiesis,IPA
SMPD3,IPAhematopoiesis,IPA
SNAI1,IPAhematopoiesis,IPA
SNAI2,IPAhematopoiesis,IPA
SNAI3,IPAhematopoiesis,IPA
SNRK,IPAhematopoiesis,IPA
sobetirome,IPAhematopoiesis,IPA
SOCS1,IPAhematopoiesis,IPA
SOCS2,IPAhematopoiesis,IPA
SOCS3,IPAhematopoiesis,IPA
SOCS5,IPAhematopoiesis,IPA
SOD1,IPAhematopoiesis,IPA
SOD2,IPAhematopoiesis,IPA
sodium_chloride,IPAhematopoiesis,IPA
sodium_orthovanadate,IPAhematopoiesis,IPA
SOX4,IPAhematopoiesis,IPA
SOX5,IPAhematopoiesis,IPA
SOX6,IPAhematopoiesis,IPA
SOX11,IPAhematopoiesis,IPA
SOX12,IPAhematopoiesis,IPA
SOX13,IPAhematopoiesis,IPA
SOX17,IPAhematopoiesis,IPA
SP1,IPAhematopoiesis,IPA
SP3,IPAhematopoiesis,IPA
SP7,IPAhematopoiesis,IPA
SP600125,IPAhematopoiesis,IPA
Spaca6,IPAhematopoiesis,IPA
SPEN,IPAhematopoiesis,IPA
sphinganine,IPAhematopoiesis,IPA
sphingosine-1-phosphate,IPAhematopoiesis,IPA
SPI1,IPAhematopoiesis,IPA
SPIB,IPAhematopoiesis,IPA
SPINK5,IPAhematopoiesis,IPA
spinosad,IPAhematopoiesis,IPA
spironolactone,IPAhematopoiesis,IPA
SPN,IPAhematopoiesis,IPA
SPP1,IPAhematopoiesis,IPA
SPPL2A,IPAhematopoiesis,IPA
SPRED2,IPAhematopoiesis,IPA
SPTA1,IPAhematopoiesis,IPA
SPTB,IPAhematopoiesis,IPA
SR_144528,IPAhematopoiesis,IPA
SRF,IPAhematopoiesis,IPA
SRPK1,IPAhematopoiesis,IPA
SRSF4,IPAhematopoiesis,IPA
SSBP3,IPAhematopoiesis,IPA
SST,IPAhematopoiesis,IPA
ST3GAL5,IPAhematopoiesis,IPA
ST6GAL1,IPAhematopoiesis,IPA
ST6GALNAC2,IPAhematopoiesis,IPA
ST8SIA1,IPAhematopoiesis,IPA
STAP1,IPAhematopoiesis,IPA
STAP2,IPAhematopoiesis,IPA
STAT1,IPAhematopoiesis,IPA
STAT2,IPAhematopoiesis,IPA
STAT3,IPAhematopoiesis,IPA
STAT4,IPAhematopoiesis,IPA
STAT6,IPAhematopoiesis,IPA
STAT,IPAhematopoiesis,IPA
STAT1/3/5/6_dimer,IPAhematopoiesis,IPA
Stat5_dimer,IPAhematopoiesis,IPA
STAT5A,IPAhematopoiesis,IPA
STAT5a/b,IPAhematopoiesis,IPA
STAT5B,IPAhematopoiesis,IPA
staurosporine,IPAhematopoiesis,IPA
STEAP3,IPAhematopoiesis,IPA
stemregenin_1,IPAhematopoiesis,IPA
STIM1,IPAhematopoiesis,IPA
STIM2,IPAhematopoiesis,IPA
STK3,IPAhematopoiesis,IPA
STK4,IPAhematopoiesis,IPA
STK11,IPAhematopoiesis,IPA
STON2,IPAhematopoiesis,IPA
SU6656,IPAhematopoiesis,IPA
sulfatides,IPAhematopoiesis,IPA
SUMF1,IPAhematopoiesis,IPA
SUZ12,IPAhematopoiesis,IPA
SWAP70,IPAhematopoiesis,IPA
SYK,IPAhematopoiesis,IPA
SYK/ZAP,IPAhematopoiesis,IPA
TAB2,IPAhematopoiesis,IPA
TAB3,IPAhematopoiesis,IPA
TAC1,IPAhematopoiesis,IPA
TAC4,IPAhematopoiesis,IPA
TACC3,IPAhematopoiesis,IPA
TACR1,IPAhematopoiesis,IPA
tacrolimus,IPAhematopoiesis,IPA
TAL1,IPAhematopoiesis,IPA
talmapimod,IPAhematopoiesis,IPA
tamibarotene,IPAhematopoiesis,IPA
tamoxifen,IPAhematopoiesis,IPA
tanespimycin,IPAhematopoiesis,IPA
TAPBP,IPAhematopoiesis,IPA
TAPI,IPAhematopoiesis,IPA
TAZ,IPAhematopoiesis,IPA
TBATA,IPAhematopoiesis,IPA
TBX21,IPAhematopoiesis,IPA
TCAF2,IPAhematopoiesis,IPA
Tcaf2,IPAhematopoiesis,IPA
TCEA1,IPAhematopoiesis,IPA
TCF3,IPAhematopoiesis,IPA
TCF4,IPAhematopoiesis,IPA
TCF7,IPAhematopoiesis,IPA
Tcf7,IPAhematopoiesis,IPA
TCF12,IPAhematopoiesis,IPA
TCF,IPAhematopoiesis,IPA
TCIRG1,IPAhematopoiesis,IPA
TCR,IPAhematopoiesis,IPA
Tcrd,IPAhematopoiesis,IPA
TDP2,IPAhematopoiesis,IPA
TEC,IPAhematopoiesis,IPA
TEC/BTK/ITK/TXK/BMX,IPAhematopoiesis,IPA
TEK,IPAhematopoiesis,IPA
TENT2,IPAhematopoiesis,IPA
TERC,IPAhematopoiesis,IPA
Terc,IPAhematopoiesis,IPA
TESC,IPAhematopoiesis,IPA
TESPA1,IPAhematopoiesis,IPA
TET2,IPAhematopoiesis,IPA
TET3,IPAhematopoiesis,IPA
Tetanospasmin,IPAhematopoiesis,IPA
tetrachlorodibenzodioxin,IPAhematopoiesis,IPA
tetradecanoylphorbol_acetate,IPAhematopoiesis,IPA
TFAP4,IPAhematopoiesis,IPA
TFR2,IPAhematopoiesis,IPA
TFRC,IPAhematopoiesis,IPA
TG,IPAhematopoiesis,IPA
TGAL_copolymer,IPAhematopoiesis,IPA
Tgf_beta,IPAhematopoiesis,IPA
TGFB1,IPAhematopoiesis,IPA
TGFB2,IPAhematopoiesis,IPA
TGFBR1,IPAhematopoiesis,IPA
TGFBR2,IPAhematopoiesis,IPA
TGFBR3,IPAhematopoiesis,IPA
TGFBR,IPAhematopoiesis,IPA
TH1_Cytokine,IPAhematopoiesis,IPA
TH2_Cytokine,IPAhematopoiesis,IPA
thapsigargin,IPAhematopoiesis,IPA
THBS1,IPAhematopoiesis,IPA
THBS2,IPAhematopoiesis,IPA
THEMIS2,IPAhematopoiesis,IPA
THEMIS,IPAhematopoiesis,IPA
theophylline,IPAhematopoiesis,IPA
THNSL2,IPAhematopoiesis,IPA
THOC5,IPAhematopoiesis,IPA
THPO,IPAhematopoiesis,IPA
THRA,IPAhematopoiesis,IPA
THSD1,IPAhematopoiesis,IPA
thymidine,IPAhematopoiesis,IPA
thyroid_hormone,IPAhematopoiesis,IPA
TIMP1,IPAhematopoiesis,IPA
TIPARP,IPAhematopoiesis,IPA
TIRAP,IPAhematopoiesis,IPA
titanium,IPAhematopoiesis,IPA
TK1,IPAhematopoiesis,IPA
TLE4,IPAhematopoiesis,IPA
TLN1,IPAhematopoiesis,IPA
TLR1,IPAhematopoiesis,IPA
TLR2,IPAhematopoiesis,IPA
TLR3,IPAhematopoiesis,IPA
TLR4,IPAhematopoiesis,IPA
TLR5,IPAhematopoiesis,IPA
TLR6,IPAhematopoiesis,IPA
TLR7,IPAhematopoiesis,IPA
TLR9,IPAhematopoiesis,IPA
Tlr,IPAhematopoiesis,IPA
TLR7/8,IPAhematopoiesis,IPA
TLX1,IPAhematopoiesis,IPA
TMEM91,IPAhematopoiesis,IPA
TMEM98,IPAhematopoiesis,IPA
TMEM143,IPAhematopoiesis,IPA
TMEM190,IPAhematopoiesis,IPA
TMEM14C,IPAhematopoiesis,IPA
TMEM178A,IPAhematopoiesis,IPA
TMOD3,IPAhematopoiesis,IPA
TMP778,IPAhematopoiesis,IPA
TMPRSS6,IPAhematopoiesis,IPA
TNF,IPAhematopoiesis,IPA
Tnf_(family),IPAhematopoiesis,IPA
TNF-kinoid,IPAhematopoiesis,IPA
TNFAIP3,IPAhematopoiesis,IPA
TNFRSF4,IPAhematopoiesis,IPA
TNFRSF8,IPAhematopoiesis,IPA
TNFRSF9,IPAhematopoiesis,IPA
TNFRSF17,IPAhematopoiesis,IPA
TNFRSF18,IPAhematopoiesis,IPA
TNFRSF25,IPAhematopoiesis,IPA
TNFRSF11A,IPAhematopoiesis,IPA
TNFRSF11B,IPAhematopoiesis,IPA
TNFRSF12A,IPAhematopoiesis,IPA
TNFRSF13B,IPAhematopoiesis,IPA
Tnfrsf13b,IPAhematopoiesis,IPA
TNFRSF13C,IPAhematopoiesis,IPA
TNFRSF1A,IPAhematopoiesis,IPA
TNFRSF1B,IPAhematopoiesis,IPA
TNFRSF6B,IPAhematopoiesis,IPA
TNFSF4,IPAhematopoiesis,IPA
TNFSF8,IPAhematopoiesis,IPA
Tnfsf9,IPAhematopoiesis,IPA
TNFSF10,IPAhematopoiesis,IPA
TNFSF11,IPAhematopoiesis,IPA
TNFSF12,IPAhematopoiesis,IPA
TNFSF13,IPAhematopoiesis,IPA
TNFSF15,IPAhematopoiesis,IPA
TNFSF13B,IPAhematopoiesis,IPA
TNRC6A,IPAhematopoiesis,IPA
TNRC6B,IPAhematopoiesis,IPA
TNRC6C,IPAhematopoiesis,IPA
TO-901317,IPAhematopoiesis,IPA
TOP2A,IPAhematopoiesis,IPA
toremifene,IPAhematopoiesis,IPA
torin1,IPAhematopoiesis,IPA
TOX,IPAhematopoiesis,IPA
TP53,IPAhematopoiesis,IPA
TP63,IPAhematopoiesis,IPA
TP53BP1,IPAhematopoiesis,IPA
TPD52,IPAhematopoiesis,IPA
TPH1,IPAhematopoiesis,IPA
TPM3-ALK,IPAhematopoiesis,IPA
TPO,IPAhematopoiesis,IPA
TPP2,IPAhematopoiesis,IPA
TPSAB1/TPSB2,IPAhematopoiesis,IPA
TRA,IPAhematopoiesis,IPA
TRAF2,IPAhematopoiesis,IPA
TRAF3,IPAhematopoiesis,IPA
TRAF5,IPAhematopoiesis,IPA
TRAF6,IPAhematopoiesis,IPA
TRAF3IP3,IPAhematopoiesis,IPA
Trail-R,IPAhematopoiesis,IPA
Traj18,IPAhematopoiesis,IPA
TRAT1,IPAhematopoiesis,IPA
TRB,IPAhematopoiesis,IPA
TREM1,IPAhematopoiesis,IPA
TREM2,IPAhematopoiesis,IPA
Trem2,IPAhematopoiesis,IPA
tretinoin,IPAhematopoiesis,IPA
TREX1,IPAhematopoiesis,IPA
TRG,IPAhematopoiesis,IPA
TRIB1,IPAhematopoiesis,IPA
trichostatin_A,IPAhematopoiesis,IPA
TRIM10,IPAhematopoiesis,IPA
TRIM28,IPAhematopoiesis,IPA
TRPM2,IPAhematopoiesis,IPA
trypsin,IPAhematopoiesis,IPA
TSC1,IPAhematopoiesis,IPA
TSC2,IPAhematopoiesis,IPA
TSH,IPAhematopoiesis,IPA
TSHR,IPAhematopoiesis,IPA
TSLP,IPAhematopoiesis,IPA
TSN,IPAhematopoiesis,IPA
TSPAN33,IPAhematopoiesis,IPA
TSTA3,IPAhematopoiesis,IPA
Ttc39aos1,IPAhematopoiesis,IPA
TTC7A,IPAhematopoiesis,IPA
TTR,IPAhematopoiesis,IPA
tunicamycin,IPAhematopoiesis,IPA
TUSC2,IPAhematopoiesis,IPA
TWIST1,IPAhematopoiesis,IPA
TWIST2,IPAhematopoiesis,IPA
TWSG1,IPAhematopoiesis,IPA
TXK,IPAhematopoiesis,IPA
TXNRD2,IPAhematopoiesis,IPA
TYK2,IPAhematopoiesis,IPA
TYRO3,IPAhematopoiesis,IPA
TYROBP,IPAhematopoiesis,IPA
tyrosine_kinase,IPAhematopoiesis,IPA
tyrosine_kinase_inhibitor,IPAhematopoiesis,IPA
U0126,IPAhematopoiesis,IPA
U2AF1/U2AF1L5,IPAhematopoiesis,IPA
UBC,IPAhematopoiesis,IPA
UBD,IPAhematopoiesis,IPA
UBE2I,IPAhematopoiesis,IPA
UBE2N,IPAhematopoiesis,IPA
ULK1,IPAhematopoiesis,IPA
USP4,IPAhematopoiesis,IPA
USP15,IPAhematopoiesis,IPA
USP18,IPAhematopoiesis,IPA
USP38,IPAhematopoiesis,IPA
UTP,IPAhematopoiesis,IPA
UVRAG,IPAhematopoiesis,IPA
valine,IPAhematopoiesis,IPA
valproic_acid,IPAhematopoiesis,IPA
VAV1,IPAhematopoiesis,IPA
VAV2,IPAhematopoiesis,IPA
VAV3,IPAhematopoiesis,IPA
VDR,IPAhematopoiesis,IPA
Vegf,IPAhematopoiesis,IPA
VEGFA,IPAhematopoiesis,IPA
VEGFC,IPAhematopoiesis,IPA
verapamil,IPAhematopoiesis,IPA
VHL,IPAhematopoiesis,IPA
VIP,IPAhematopoiesis,IPA
vitamin_A,IPAhematopoiesis,IPA
vitamin_D,IPAhematopoiesis,IPA
Vmn1r13,IPAhematopoiesis,IPA
Vmn1r192_(includes_others),IPAhematopoiesis,IPA
Vmn1r22/Vmn1r23,IPAhematopoiesis,IPA
Vmn2r66_(includes_others),IPAhematopoiesis,IPA
vorinostat,IPAhematopoiesis,IPA
VPREB1,IPAhematopoiesis,IPA
VPS33A,IPAhematopoiesis,IPA
VTCN1,IPAhematopoiesis,IPA
VWF,IPAhematopoiesis,IPA
WAS,IPAhematopoiesis,IPA
WASF2,IPAhematopoiesis,IPA
WASHC1,IPAhematopoiesis,IPA
Wasl,IPAhematopoiesis,IPA
WDR1,IPAhematopoiesis,IPA
WDR5,IPAhematopoiesis,IPA
WDR7,IPAhematopoiesis,IPA
WDR38,IPAhematopoiesis,IPA
WDR61,IPAhematopoiesis,IPA
WDR78,IPAhematopoiesis,IPA
WIPF1,IPAhematopoiesis,IPA
WNT1,IPAhematopoiesis,IPA
WNT4,IPAhematopoiesis,IPA
WNT3A,IPAhematopoiesis,IPA
WNT5A,IPAhematopoiesis,IPA
wortmannin,IPAhematopoiesis,IPA
WT1,IPAhematopoiesis,IPA
WWP1,IPAhematopoiesis,IPA
XBP1,IPAhematopoiesis,IPA
XPA,IPAhematopoiesis,IPA
XRCC2,IPAhematopoiesis,IPA
XRCC4,IPAhematopoiesis,IPA
XRCC5,IPAhematopoiesis,IPA
XRCC6,IPAhematopoiesis,IPA
YBX1,IPAhematopoiesis,IPA
YES1,IPAhematopoiesis,IPA
YWHAZ,IPAhematopoiesis,IPA
YY1,IPAhematopoiesis,IPA
Z-LLL-CHO,IPAhematopoiesis,IPA
zanamivir,IPAhematopoiesis,IPA
ZAP70,IPAhematopoiesis,IPA
ZBTB1,IPAhematopoiesis,IPA
ZBTB16,IPAhematopoiesis,IPA
ZBTB17,IPAhematopoiesis,IPA
ZBTB24,IPAhematopoiesis,IPA
ZBTB32,IPAhematopoiesis,IPA
ZBTB46,IPAhematopoiesis,IPA
ZBTB7A,IPAhematopoiesis,IPA
ZBTB7B,IPAhematopoiesis,IPA
ZC3H12C,IPAhematopoiesis,IPA
ZEB1,IPAhematopoiesis,IPA
ZEB2,IPAhematopoiesis,IPA
ZFA-fmk,IPAhematopoiesis,IPA
ZFAT,IPAhematopoiesis,IPA
Zfp35,IPAhematopoiesis,IPA
ZFP36,IPAhematopoiesis,IPA
Zfp683,IPAhematopoiesis,IPA
Zfp950,IPAhematopoiesis,IPA
ZFP36L1,IPAhematopoiesis,IPA
ZFP36L2,IPAhematopoiesis,IPA
ZFPM1,IPAhematopoiesis,IPA
ZFPM2,IPAhematopoiesis,IPA
zidovudine,IPAhematopoiesis,IPA
zileuton,IPAhematopoiesis,IPA
zinc,IPAhematopoiesis,IPA
ZMIZ1,IPAhematopoiesis,IPA
ZMYM2,IPAhematopoiesis,IPA
ZNF16,IPAhematopoiesis,IPA
ZNF616,IPAhematopoiesis,IPA
ZNF683,IPAhematopoiesis,IPA
ZNF784,IPAhematopoiesis,IPA
ZNF385A,IPAhematopoiesis,IPA
zoledronic_acid,IPAhematopoiesis,IPA
ZRSR2,IPAhematopoiesis,IPA
ZSWIM9,IPAhematopoiesis,IPA
zVAD,IPAhematopoiesis,IPA
zVAD-FMK,IPAhematopoiesis,IPA
zymosan,IPAhematopoiesis,IPA
1-butanol,IPAbloodclot,IPA
2-arachidonoylglycerol,IPAbloodclot,IPA
2-deoxyglucose,IPAbloodclot,IPA
2-O__3-O-desulfated_heparin,IPAbloodclot,IPA
3-deazaaristeromycin,IPAbloodclot,IPA
3-deazaneplanocin,IPAbloodclot,IPA
5-azacytidine,IPAbloodclot,IPA
5-fluorouracil,IPAbloodclot,IPA
5-fluorouracil/irinotecan,IPAbloodclot,IPA
5-fluorouracil/irinotecan/leucovorin/oxaliplatin,IPAbloodclot,IPA
5-fluorouracil/leucovorin/oxaliplatin,IPAbloodclot,IPA
5-hydroxytryptamine,IPAbloodclot,IPA
5-iodotubercidin,IPAbloodclot,IPA
6-methylsulfinylhexyl_isothiocyanate,IPAbloodclot,IPA
8__11__14-eicosatrienoic_acid,IPAbloodclot,IPA
9-keto-12-oxo-10-dodecenoic_acid_2-lyso-phosphocholine_ester,IPAbloodclot,IPA
17-alpha-ethinylestradiol,IPAbloodclot,IPA
20-hydroxyeicosatetraenoic_acid,IPAbloodclot,IPA
20s_proteasome,IPAbloodclot,IPA
26s_Proteasome,IPAbloodclot,IPA
A2M,IPAbloodclot,IPA
abacavir,IPAbloodclot,IPA
ABCA1,IPAbloodclot,IPA
ABCB1,IPAbloodclot,IPA
ABCC4,IPAbloodclot,IPA
abciximab,IPAbloodclot,IPA
ABO,IPAbloodclot,IPA
ABT-737,IPAbloodclot,IPA
ACACA,IPAbloodclot,IPA
ACACB,IPAbloodclot,IPA
acenocoumarol,IPAbloodclot,IPA
acetaminophen,IPAbloodclot,IPA
acetylcholine,IPAbloodclot,IPA
ACSL5,IPAbloodclot,IPA
activated_recombinant_human_factor_VII,IPAbloodclot,IPA
ACTN1,IPAbloodclot,IPA
ADA,IPAbloodclot,IPA
ADAMTS13,IPAbloodclot,IPA
ADIPOQ,IPAbloodclot,IPA
ADORA2A,IPAbloodclot,IPA
ADP,IPAbloodclot,IPA
ADRB2,IPAbloodclot,IPA
ADTRP,IPAbloodclot,IPA
advanced_glycation_end-products,IPAbloodclot,IPA
aflibercept,IPAbloodclot,IPA
AGER,IPAbloodclot,IPA
AGK,IPAbloodclot,IPA
AHR,IPAbloodclot,IPA
AK3,IPAbloodclot,IPA
AKAP1,IPAbloodclot,IPA
AKAP10,IPAbloodclot,IPA
AKT1,IPAbloodclot,IPA
AKT2,IPAbloodclot,IPA
AKT3,IPAbloodclot,IPA
Akt,IPAbloodclot,IPA
ALB,IPAbloodclot,IPA
albutrepenonacog_alfa,IPAbloodclot,IPA
aldosterone,IPAbloodclot,IPA
alemtuzumab,IPAbloodclot,IPA
alfimeprase,IPAbloodclot,IPA
ALOX12,IPAbloodclot,IPA
ALT,IPAbloodclot,IPA
amoxicillin,IPAbloodclot,IPA
androgen,IPAbloodclot,IPA
ANGPT1,IPAbloodclot,IPA
ANGPT2,IPAbloodclot,IPA
anisindione,IPAbloodclot,IPA
ANKRD26,IPAbloodclot,IPA
ANO6,IPAbloodclot,IPA
antilymphocyte_serum,IPAbloodclot,IPA
antithrombin_alfa,IPAbloodclot,IPA
ANXA1,IPAbloodclot,IPA
ANXA2,IPAbloodclot,IPA
ANXA5,IPAbloodclot,IPA
ANXA7,IPAbloodclot,IPA
AP3B1,IPAbloodclot,IPA
Ap3b1,IPAbloodclot,IPA
APC,IPAbloodclot,IPA
APCS,IPAbloodclot,IPA
apixaban,IPAbloodclot,IPA
APLN,IPAbloodclot,IPA
APLP2,IPAbloodclot,IPA
APOBEC1,IPAbloodclot,IPA
APOE,IPAbloodclot,IPA
APOH,IPAbloodclot,IPA
APP,IPAbloodclot,IPA
aprinocarsen,IPAbloodclot,IPA
AQP4,IPAbloodclot,IPA
AR,IPAbloodclot,IPA
arachidonic_acid,IPAbloodclot,IPA
ARF6,IPAbloodclot,IPA
argatroban,IPAbloodclot,IPA
ARGX-113,IPAbloodclot,IPA
ARID4A,IPAbloodclot,IPA
ARID4B,IPAbloodclot,IPA
ARNT,IPAbloodclot,IPA
ARNTL,IPAbloodclot,IPA
ARPC1B,IPAbloodclot,IPA
ARRB1,IPAbloodclot,IPA
ARRB2,IPAbloodclot,IPA
ASGR2,IPAbloodclot,IPA
aspirin,IPAbloodclot,IPA
aspirin/bivalirudin,IPAbloodclot,IPA
aspirin/clopidogrel,IPAbloodclot,IPA
aspirin/clopidogrel/rivaroxaban,IPAbloodclot,IPA
aspirin/prasugrel,IPAbloodclot,IPA
aspirin/rivaroxaban,IPAbloodclot,IPA
aspirin/rivaroxaban/ticlopidine,IPAbloodclot,IPA
aspirin/ticagrelor,IPAbloodclot,IPA
ASXL1,IPAbloodclot,IPA
ATF6,IPAbloodclot,IPA
ATG7,IPAbloodclot,IPA
atorvastatin,IPAbloodclot,IPA
ATP2A2,IPAbloodclot,IPA
ATP2A3,IPAbloodclot,IPA
ATP2C1,IPAbloodclot,IPA
ATP4A,IPAbloodclot,IPA
ATP4B,IPAbloodclot,IPA
avatrombopag,IPAbloodclot,IPA
AVE0991,IPAbloodclot,IPA
AVP,IPAbloodclot,IPA
AVPR2,IPAbloodclot,IPA
AVPR1A,IPAbloodclot,IPA
AVPR1B,IPAbloodclot,IPA
AXL,IPAbloodclot,IPA
azathioprine,IPAbloodclot,IPA
AZD6482,IPAbloodclot,IPA
azelastine,IPAbloodclot,IPA
AZU1,IPAbloodclot,IPA
BAAT,IPAbloodclot,IPA
bacitracin,IPAbloodclot,IPA
baicalein,IPAbloodclot,IPA
BAK1,IPAbloodclot,IPA
BAX,IPAbloodclot,IPA
Bay_11-7082,IPAbloodclot,IPA
BAY_61-3606,IPAbloodclot,IPA
BCL2,IPAbloodclot,IPA
BCL6,IPAbloodclot,IPA
BCL11B,IPAbloodclot,IPA
BCL2L1,IPAbloodclot,IPA
BCL2L11,IPAbloodclot,IPA
bendamustine,IPAbloodclot,IPA
benzenesulfonyl-D-Arg-Gly-Arg-ketothiazole,IPAbloodclot,IPA
beta-estradiol,IPAbloodclot,IPA
betamethasone,IPAbloodclot,IPA
betamethasone_acetate/betamethasone_phosphate,IPAbloodclot,IPA
betrixaban,IPAbloodclot,IPA
bevacizumab,IPAbloodclot,IPA
bivalirudin,IPAbloodclot,IPA
blinatumomab,IPAbloodclot,IPA
blisibimod,IPAbloodclot,IPA
BLOC1S3,IPAbloodclot,IPA
BLOC1S6,IPAbloodclot,IPA
BM-613,IPAbloodclot,IPA
BMPR2,IPAbloodclot,IPA
bortezomib,IPAbloodclot,IPA
bosentan,IPAbloodclot,IPA
bosutinib,IPAbloodclot,IPA
BPI,IPAbloodclot,IPA
brentuximab_vedotin,IPAbloodclot,IPA
bropirimine,IPAbloodclot,IPA
BTC,IPAbloodclot,IPA
bypassing_agent,IPAbloodclot,IPA
C2,IPAbloodclot,IPA
C3,IPAbloodclot,IPA
C5,IPAbloodclot,IPA
C9,IPAbloodclot,IPA
C-type_LECTIN,IPAbloodclot,IPA
C1GALT1,IPAbloodclot,IPA
C1GALT1C1,IPAbloodclot,IPA
C1q,IPAbloodclot,IPA
C1QA,IPAbloodclot,IPA
C1QBP,IPAbloodclot,IPA
C1QTNF1,IPAbloodclot,IPA
C3AR1,IPAbloodclot,IPA
C4A/C4B,IPAbloodclot,IPA
C4BPB,IPAbloodclot,IPA
Ca2+,IPAbloodclot,IPA
cabazitaxel,IPAbloodclot,IPA
caffeic_acid,IPAbloodclot,IPA
calcimycin,IPAbloodclot,IPA
calcitriol,IPAbloodclot,IPA
calcium_chloride,IPAbloodclot,IPA
calpain,IPAbloodclot,IPA
CALR,IPAbloodclot,IPA
CALU,IPAbloodclot,IPA
CAMLG,IPAbloodclot,IPA
cangrelor,IPAbloodclot,IPA
CANT1,IPAbloodclot,IPA
capecitabine,IPAbloodclot,IPA
capecitabine/docetaxel/gemcitabine,IPAbloodclot,IPA
caplacizumab,IPAbloodclot,IPA
caplacizumab/immunosuppressive_therapy,IPAbloodclot,IPA
CAPN1,IPAbloodclot,IPA
CAPZA1,IPAbloodclot,IPA
CAPZA2,IPAbloodclot,IPA
CAPZB,IPAbloodclot,IPA
carbon,IPAbloodclot,IPA
carbonyl_cyanide_m-chlorophenyl_hydrazone,IPAbloodclot,IPA
carboplatin,IPAbloodclot,IPA
carboplatin/chemotherapy,IPAbloodclot,IPA
carboplatin/etoposide/prednisone/vindesine,IPAbloodclot,IPA
carboplatin/irinotecan,IPAbloodclot,IPA
carboplatin/paclitaxel,IPAbloodclot,IPA
carboxyethylpyrrole_phosphatidylethanolamine,IPAbloodclot,IPA
CARDIAC_TROPONIN,IPAbloodclot,IPA
cardiolipin,IPAbloodclot,IPA
CARMIL1,IPAbloodclot,IPA
carnitine,IPAbloodclot,IPA
CAV1,IPAbloodclot,IPA
CBLB,IPAbloodclot,IPA
CBX5,IPAbloodclot,IPA
CCL2,IPAbloodclot,IPA
CCL3,IPAbloodclot,IPA
CCL4,IPAbloodclot,IPA
CCL5,IPAbloodclot,IPA
CCL11,IPAbloodclot,IPA
CCL17,IPAbloodclot,IPA
CCL22,IPAbloodclot,IPA
CCL3L3,IPAbloodclot,IPA
CCN2,IPAbloodclot,IPA
CCR2,IPAbloodclot,IPA
CD24,IPAbloodclot,IPA
CD34,IPAbloodclot,IPA
CD36,IPAbloodclot,IPA
CD44,IPAbloodclot,IPA
CD46,IPAbloodclot,IPA
CD47,IPAbloodclot,IPA
CD52,IPAbloodclot,IPA
CD55,IPAbloodclot,IPA
CD59,IPAbloodclot,IPA
Cd64,IPAbloodclot,IPA
CD93,IPAbloodclot,IPA
CD177,IPAbloodclot,IPA
CD209,IPAbloodclot,IPA
CD40LG,IPAbloodclot,IPA
CD8A,IPAbloodclot,IPA
CDA,IPAbloodclot,IPA
CDC42,IPAbloodclot,IPA
Cdc42,IPAbloodclot,IPA
CDD450,IPAbloodclot,IPA
CDK6,IPAbloodclot,IPA
CDK13,IPAbloodclot,IPA
Cdkn1c,IPAbloodclot,IPA
CEACAM1,IPAbloodclot,IPA
cetuximab,IPAbloodclot,IPA
CFB,IPAbloodclot,IPA
CFD,IPAbloodclot,IPA
CFH,IPAbloodclot,IPA
CFHR1,IPAbloodclot,IPA
CFHR3,IPAbloodclot,IPA
CFI,IPAbloodclot,IPA
CHD7,IPAbloodclot,IPA
chemokine,IPAbloodclot,IPA
chemotherapy/doxorubicin,IPAbloodclot,IPA
chemotherapy/thalidomide,IPAbloodclot,IPA
chlorambucil/obinutuzumab,IPAbloodclot,IPA
chloroquine,IPAbloodclot,IPA
cholecalciferol,IPAbloodclot,IPA
cilostazol,IPAbloodclot,IPA
cisplatin,IPAbloodclot,IPA
cisplatin/gemcitabine,IPAbloodclot,IPA
cixutumumab/temsirolimus,IPAbloodclot,IPA
CKM,IPAbloodclot,IPA
cladribine,IPAbloodclot,IPA
clarithromycin,IPAbloodclot,IPA
CLEC1B,IPAbloodclot,IPA
CLEC4G,IPAbloodclot,IPA
CLEC4M,IPAbloodclot,IPA
CLIC1,IPAbloodclot,IPA
clopidogrel,IPAbloodclot,IPA
CNP,IPAbloodclot,IPA
cocaine,IPAbloodclot,IPA
COL1A1,IPAbloodclot,IPA
COL1A2,IPAbloodclot,IPA
COL4A1,IPAbloodclot,IPA
collagen,IPAbloodclot,IPA
Collagen_Alpha1,IPAbloodclot,IPA
Collagen_type_I_(complex),IPAbloodclot,IPA
Collagen(s),IPAbloodclot,IPA
collagen-related_peptide,IPAbloodclot,IPA
COMP,IPAbloodclot,IPA
Complement,IPAbloodclot,IPA
Complement_component_1,IPAbloodclot,IPA
conbercept,IPAbloodclot,IPA
Congo_Red,IPAbloodclot,IPA
conjugated_estrogens/meprobamate,IPAbloodclot,IPA
Convulxin,IPAbloodclot,IPA
corticosteroid,IPAbloodclot,IPA
corticosteroid/IgG,IPAbloodclot,IPA
CPB2,IPAbloodclot,IPA
CpG_ODN_2395,IPAbloodclot,IPA
creatinine,IPAbloodclot,IPA
CRP,IPAbloodclot,IPA
CSF3,IPAbloodclot,IPA
CSF3R,IPAbloodclot,IPA
CTBP1,IPAbloodclot,IPA
CTSB,IPAbloodclot,IPA
